1,Patna ,Patna SVS,"Patna , Bihar, India",SVS
2,Aurangabad ,Aurangabad RVS,"Aurangabad , Bihar, India",RVS
3,Bhagalpur ,Bhagalpur RVS,"Bhagalpur , Bihar, India",RVS
4,Darbhanga ,Darbhanga RVS,"Darbhanga , Bihar, India",RVS
5,East Champaran ,East Champaran RVS,"East Champaran , Bihar, India",RVS
6,Muzaffarpur ,Muzaffarpur RVS,"Muzaffarpur , Bihar, India",RVS
7,Nalanda ,Nalanda RVS,"Nalanda , Bihar, India",RVS
8,Purnia ,Purnia RVS,"Purnia , Bihar, India",RVS
9,Saharsa ,Saharsa RVS,"Saharsa , Bihar, India",RVS
10,Saran ,Saran RVS,"Saran , Bihar, India",RVS
11,Araria ,Araria DVS,"Araria , Bihar, India",DVS
12,Arwal ,Arwal DVS,"Arwal , Bihar, India",DVS
13,Aurangabad ,Aurangabad DVS,"Aurangabad , Bihar, India",DVS
14,Banka ,Banka DVS,"Banka , Bihar, India",DVS
15,Begusarai ,Begusarai DVS,"Begusarai , Bihar, India",DVS
16,Bhagalpur ,Bhagalpur DVS,"Bhagalpur , Bihar, India",DVS
17,Bhojpur ,Bhojpur DVS,"Bhojpur , Bihar, India",DVS
18,Buxar ,Buxar DVS,"Buxar , Bihar, India",DVS
19,Darbhanga ,Darbhanga DVS,"Darbhanga , Bihar, India",DVS
20,East Champaran ,East Champaran DVS,"East Champaran , Bihar, India",DVS
21,Gaya ,Gaya DVS,"Gaya , Bihar, India",DVS
22,Gopalganj ,Gopalganj DVS,"Gopalganj , Bihar, India",DVS
23,Jamui ,Jamui DVS,"Jamui , Bihar, India",DVS
24,Jehanabad ,Jehanabad DVS,"Jehanabad , Bihar, India",DVS
25,Kaimur ,Kaimur DVS,"Kaimur , Bihar, India",DVS
26,Katihar ,Katihar DVS,"Katihar , Bihar, India",DVS
27,Khagaria ,Khagaria DVS,"Khagaria , Bihar, India",DVS
28,Kishanganj ,Kishanganj DVS,"Kishanganj , Bihar, India",DVS
29,Lakhisarai ,Lakhisarai DVS,"Lakhisarai , Bihar, India",DVS
30,Madhepura ,Madhepura DVS,"Madhepura , Bihar, India",DVS
31,Madhubani ,Madhubani DVS,"Madhubani , Bihar, India",DVS
32,Munger ,Munger DVS,"Munger , Bihar, India",DVS
33,Muzaffarpur ,Muzaffarpur DVS,"Muzaffarpur , Bihar, India",DVS
34,Nalanda ,Nalanda DVS,"Nalanda , Bihar, India",DVS
35,Nawada ,Nawada DVS,"Nawada , Bihar, India",DVS
36,Patna ,Patna DVS,"Patna , Bihar, India",DVS
37,Purnia ,Purnia DVS,"Purnia , Bihar, India",DVS
38,Rohtas ,Rohtas DVS,"Rohtas , Bihar, India",DVS
39,Saharsa ,Saharsa DVS,"Saharsa , Bihar, India",DVS
40,Samastipur ,Samastipur DVS,"Samastipur , Bihar, India",DVS
41,Saran ,Saran DVS,"Saran , Bihar, India",DVS
42,Sheikhpura ,Sheikhpura DVS,"Sheikhpura , Bihar, India",DVS
43,Sheohar ,Sheohar DVS,"Sheohar , Bihar, India",DVS
44,Sitamarhi ,Sitamarhi DVS,"Sitamarhi , Bihar, India",DVS
45,Siwan ,Siwan DVS,"Siwan , Bihar, India",DVS
46,Supaul ,Supaul DVS,"Supaul , Bihar, India",DVS
47,Vaishali ,Vaishali DVS,"Vaishali , Bihar, India",DVS
48,West Champaran ,West Champaran DVS,"West Champaran , Bihar, India",DVS
