r,d,Distance
1,1,456.02
1,2,69.905
1,3,0
1,4,321.827
1,5,259.731
1,6,323.607
1,7,115.161
1,8,124.952
1,9,277.24
1,10,287.63
1,11,88.481
1,12,270.387
1,13,215.303
1,14,104.057
1,15,91.779
1,16,435.49
1,17,301.804
1,18,527.411
1,19,218.065
1,20,425.76
1,21,309.102
1,22,269.456
1,23,209.467
1,24,148.371
1,25,139.211
1,26,128.539
1,27,506.93
1,28,102.148
1,29,323.168
1,30,222.083
1,31,233.424
1,32,192.558
1,33,260.538
1,34,266.826
1,35,253.756
1,36,393.287
1,37,186.431
1,38,371.216
2,1,135.274
2,2,272.348
2,3,338.303
2,4,54.424
2,5,125.489
2,6,9.141
2,7,297.434
2,8,370.248
2,9,200.724
2,10,323.993
2,11,243.293
2,12,378.25
2,13,112.919
2,14,239.772
2,15,428.561
2,16,89.142
2,17,86.175
2,18,156.853
2,19,117.387
2,20,96.684
2,21,299.628
2,22,73.196
2,23,245.83
2,24,195.684
2,25,196.239
2,26,253.542
2,27,95.413
2,28,438.93
2,29,131.001
2,30,180.976
2,31,332.883
2,32,142.872
2,33,296.901
2,34,303.189
2,35,357.362
2,36,131.083
2,37,276.062
2,38,407.579
3,1,202.973
3,2,205.36
3,3,275.65
3,4,260.295
3,5,106.393
3,6,215.012
3,7,192.609
3,8,252.544
3,9,14.63
3,10,138.606
3,11,237.044
3,12,192.863
3,13,164.853
3,14,186.992
3,15,325.583
3,16,275.022
3,17,128.116
3,18,274.364
3,19,134.079
3,20,172.713
3,21,56.055
3,22,179.528
3,23,65.045
3,24,178.754
3,25,193.044
3,26,148.717
3,27,253.883
3,28,349.615
3,29,99.666
3,30,33.978
3,31,157.037
3,32,158.633
3,33,106.484
3,34,105.881
3,35,216.625
3,36,140.24
3,37,104.702
3,38,222.192
4,1,321.018
4,2,219.46
4,3,289.75
4,4,369.997
4,5,198.941
4,6,324.714
4,7,206.709
4,8,212.244
4,9,142.238
4,10,0
4,11,251.144
4,12,80.198
4,13,257.401
4,14,201.092
4,15,288.37
4,16,393.067
4,17,241.014
4,18,392.409
4,19,226.627
4,20,290.758
4,21,174.1
4,22,272.076
4,23,79.145
4,24,233.73
4,25,258.574
4,26,162.817
4,27,371.928
4,28,363.715
4,29,235.837
4,30,138.771
4,31,91.972
4,32,251.181
4,33,62.91
4,34,80.539
4,35,103.96
4,36,258.285
4,37,93.497
4,38,85.666
5,1,247.506
5,2,140.611
5,3,210.901
5,4,291.148
5,5,120.092
5,6,245.865
5,7,127.86
5,8,187.795
5,9,68.726
5,10,79.116
5,11,172.295
5,12,133.373
5,13,178.552
5,14,122.243
5,15,260.834
5,16,319.555
5,17,162.165
5,18,318.897
5,19,147.778
5,20,217.246
5,21,100.588
5,22,193.227
5,23,0
5,24,154.881
5,25,179.725
5,26,83.968
5,27,298.416
5,28,284.866
5,29,162.325
5,30,59.922
5,31,92.288
5,32,172.332
5,33,52.024
5,34,58.312
5,35,157.135
5,36,184.773
5,37,39.953
5,38,162.702
6,1,318.07
6,2,92.87
6,3,151.324
6,4,195.011
6,5,96.179
6,6,191.178
6,7,143.921
6,8,216.735
6,9,221.736
6,10,232.126
6,11,61.026
6,12,229.249
6,13,103.101
6,14,60.294
6,15,241.582
6,16,271.938
6,17,138.252
6,18,339.649
6,19,78.399
6,20,213.004
6,21,253.598
6,22,129.79
6,23,153.963
6,24,0
6,25,34.903
6,26,89.247
6,27,278.209
6,28,251.951
6,29,213.783
6,30,146.128
6,31,192.286
6,32,52.892
6,33,205.034
6,34,211.322
6,35,212.618
6,36,211.882
6,37,130.927
6,38,315.712
7,1,51.031
7,2,438.612
7,3,508.902
7,4,141.323
7,5,182.373
7,6,96.04
7,7,425.861
7,8,485.796
7,9,235.855
7,10,371.858
7,11,330.192
7,12,426.115
7,13,199.818
7,14,329.127
7,15,558.835
7,16,21.879
7,17,143.059
7,18,72.61
7,19,204.286
7,20,91.648
7,21,215.385
7,22,160.095
7,23,298.297
7,24,278.299
7,25,283.138
7,26,381.969
7,27,0
7,28,582.867
7,29,118.635
7,30,286.441
7,31,390.289
7,32,229.771
7,33,339.736
7,34,302.994
7,35,449.877
7,36,161.851
7,37,337.954
7,38,455.444
8,1,148.931
8,2,253.251
8,3,323.541
8,4,177.272
8,5,119.703
8,6,131.989
8,7,240.5
8,8,349.668
8,9,85.897
8,10,235.73
8,11,274.626
8,12,289.987
8,13,201.728
8,14,234.883
8,15,373.474
8,16,139.795
8,17,80.389
8,18,220.322
8,19,170.954
8,20,27.28
8,21,94.065
8,22,196.044
8,23,162.169
8,24,215.629
8,25,229.919
8,26,196.608
8,27,118.656
8,28,397.506
8,29,0
8,30,101.456
8,31,254.161
8,32,195.508
8,33,203.608
8,34,166.866
8,35,313.749
8,36,37.713
8,37,201.826
8,38,319.316
9,1,339.42
9,2,160.982
9,3,231.272
9,4,378.851
9,5,207.795
9,6,333.568
9,7,147.007
9,8,124.172
9,9,160.64
9,10,91.964
9,11,209.642
9,12,73.123
9,13,266.255
9,14,159.59
9,15,200.298
9,16,411.469
9,17,249.868
9,18,410.811
9,19,235.481
9,20,309.16
9,21,192.502
9,22,280.93
9,23,92.867
9,24,192.228
9,25,217.072
9,26,107.788
9,27,390.33
9,28,275.364
9,29,254.239
9,30,147.625
9,31,0
9,32,219.403
9,33,129.004
9,34,150.226
9,35,28.036
9,36,276.687
9,37,68.475
9,38,156.127
