r,t,Capacity
1,1,4090909
1,2,4090909
1,3,4090909
1,4,4090909
1,5,4090909
1,6,4090909
1,7,4090909
1,8,4090909
1,9,4090909
1,10,4090909
1,11,4090909
1,12,4090909
2,1,2727273
2,2,2727273
2,3,2727273
2,4,2727273
2,5,2727273
2,6,2727273
2,7,2727273
2,8,2727273
2,9,2727273
2,10,2727273
2,11,2727273
2,12,2727273
3,1,1363636
3,2,1363636
3,3,1363636
3,4,1363636
3,5,1363636
3,6,1363636
3,7,1363636
3,8,1363636
3,9,1363636
3,10,1363636
3,11,1363636
3,12,1363636
4,1,1363636
4,2,1363636
4,3,1363636
4,4,1363636
4,5,1363636
4,6,1363636
4,7,1363636
4,8,1363636
4,9,1363636
4,10,1363636
4,11,1363636
4,12,1363636
5,1,1363636
5,2,1363636
5,3,1363636
5,4,1363636
5,5,1363636
5,6,1363636
5,7,1363636
5,8,1363636
5,9,1363636
5,10,1363636
5,11,1363636
5,12,1363636
6,1,1363636
6,2,1363636
6,3,1363636
6,4,1363636
6,5,1363636
6,6,1363636
6,7,1363636
6,8,1363636
6,9,1363636
6,10,1363636
6,11,1363636
6,12,1363636
7,1,4090909
7,2,4090909
7,3,4090909
7,4,4090909
7,5,4090909
7,6,4090909
7,7,4090909
7,8,4090909
7,9,4090909
7,10,4090909
7,11,4090909
7,12,4090909
8,1,1363636
8,2,1363636
8,3,1363636
8,4,1363636
8,5,1363636
8,6,1363636
8,7,1363636
8,8,1363636
8,9,1363636
8,10,1363636
8,11,1363636
8,12,1363636
9,1,2727273
9,2,2727273
9,3,2727273
9,4,2727273
9,5,2727273
9,6,2727273
9,7,2727273
9,8,2727273
9,9,2727273
9,10,2727273
9,11,2727273
9,12,2727273
